id,apac_card_number,vertical,loan_end_date,bucket,int_dmd_os,case_id,dis_amt,emi_amt,emi_date,last_payment_date,int_rate,agency_code,principle_os,branch_name,party_id,outstanding_balance,comm_status,communication_type,iteration,verbiage,amount
2,123456789,MSME,03/30/2025,30,1200.0,1.0,1200000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,800000.0,Wagle Estate,194227222,1000000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
3,123456788,MSME,03/30/2025,30,1200.0,2.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,900000.0,Wagle Estate,194227223,1300000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
4,123456787,MSME,03/30/2025,30,1200.0,3.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,1000000.0,Wagle Estate,194227224,1100000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
2,123456789,MSME,03/30/2025,30,1200.0,1.0,1200000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,800000.0,Wagle Estate,194227222,1000000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
3,123456788,MSME,03/30/2025,30,1200.0,2.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,900000.0,Wagle Estate,194227223,1300000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
4,123456787,MSME,03/30/2025,30,1200.0,3.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,1000000.0,Wagle Estate,194227224,1100000,DELIVERED,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
2,123456789,MSME,03/30/2025,30,1200.0,1.0,1200000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,800000.0,Wagle Estate,194227222,1000000,DELIVERED,EMAIL,Iteration0-Email,"Dear [partyName], 

Your EMI of amount [emiAmount] INR is due on [emiDate]. Please pay at least before 2 days. 
Link to pay: [payment_link]

Regards, 
XYZ Bank",
3,123456788,MSME,03/30/2025,30,1200.0,2.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,900000.0,Wagle Estate,194227223,1300000,DELIVERED,EMAIL,Iteration0-Email,"Dear [partyName], 

Your EMI of amount [emiAmount] INR is due on [emiDate]. Please pay at least before 2 days. 
Link to pay: [payment_link]

Regards, 
XYZ Bank",
4,123456787,MSME,03/30/2025,30,1200.0,3.0,1500000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,1000000.0,Wagle Estate,194227224,1100000,DELIVERED,EMAIL,Iteration0-Email,"Dear [partyName], 

Your EMI of amount [emiAmount] INR is due on [emiDate]. Please pay at least before 2 days. 
Link to pay: [payment_link]

Regards, 
XYZ Bank",
2,123456789,MSME,03/30/2025,30,1200.0,1.0,1200000.0,23500.0,11/10/2022,10/03/2022,8.0,AGN001,800000.0,Wagle Estate,194227222,1000000,INVALID,SMS,Iteration0-SMS,"Hi [partyName], you have an outstanding payment of Rs. [emiAmount] since [emiDate] to Mobicule. Click [payment_link] to pay now and avoid additional charges",
